category,points,question,answer
Productionalize,200,"Plan it, then build it for real - an interactive deadline-risk view of the contract tracker. A spec you executed, not a vibe.","First outline a brief plan for my review, then carry it out. Read the local file data/contracts.csv (columns Title, Counterparty, AssignedAttorney, ContractValue, DueDate, ContractType, ReviewStatus, Priority). Write and run a Python script build_dashboard.py that generates a single self-contained, dependency-free HTML deadline-risk dashboard and saves it to contract_deadline_dashboard.html: three summary tiles (count overdue, count due within 30 days, count due later) and a table of all contracts sorted by DueDate showing Title, Counterparty, AssignedAttorney, DueDate, Priority and a computed days-until-due based on today's date, with overdue rows highlighted red and rows due within 30 days amber. Don't explore other tools or packages. In your final message, render a clickable link to the saved contract_deadline_dashboard.html file and confirm the three tile counts."
Productionalize,300,"Make it reproducible and trustworthy: plan it, build it, prove the numbers with tests, and hand a colleague a one-command rebuild.","First outline a brief plan for my review, then carry it out. Working only from the local file data/contracts.csv, produce a reproducible deadline-risk dashboard inside a dashboard/ folder: (1) build_dashboard.py that reads data/contracts.csv and writes a single self-contained, dependency-free dashboard/index.html with three summary tiles (count overdue, count due within 30 days, count due later) and a table of all contracts sorted by DueDate with a computed days-until-due, overdue rows red and rows due within 30 days amber; (2) test_dashboard.py with pytest tests that assert the overdue count and the days-until-due calculation are correct for known rows; (3) a README.md a non-technical colleague can follow to regenerate the dashboard. Put all of build_dashboard.py, test_dashboard.py, README.md and index.html inside the dashboard/ folder. Run the build, then run the tests. Don't explore other tools or packages. In your final message, list the files you created, paste the complete verbatim passing pytest output, and render a clickable link to dashboard/index.html."
Build Me!,100,"Vibe-code it: a live world map of Microsoft, Amazon & Google data centers","Create a modern, professional single-page website with an interactive world map of known Microsoft, Amazon, and Google data centers. Show counts by country and state, support zoom and pan, and let me filter by company and country. Use trusted, cited sources. Where credible power-consumption figures exist, add a dynamic report that updates as I change the filters."
Build Me!,200,Plan-mode build: an interactive data center map with filters + power reports,"Work in plan mode: propose a short plan and wait for my approval before writing any code. Then build a modern single-page site with an interactive world map of Microsoft, Amazon (AWS), and Google data centers - counts by country and region, zoom and pan, click a marker for detail, and live filters by company and country. Add power-consumption reports that recompute from the active filters where credible data exists. Use trusted, cited sources, save the data to a local file the site loads from, and include a short README."
Build Me!,300,Production build: a full Global Data Center Intelligence dashboard,"Work in plan mode: propose a short plan and wait for my approval before building. Then create a polished 'Global Data Center Explorer' that maps Microsoft (Azure), Amazon (AWS), and Google (GCP) facilities - clustered markers, zoom and pan, detail on click, and live filters by company, country, and free-text search. Add power reports that recompute from the filters, plus one extra cited dataset (e.g. grid carbon intensity) in the detail panel. Add an 'Ask the data' chat box, served behind a tiny local server, that sends my question plus the currently filtered data to the local Copilot CLI in one shot (copilot -p ""..."") and renders its one-shot reply; if the CLI isn't available, degrade gracefully with a clear message. Store the data in a local file with a refresh script and a small validation test you run and show passing. Include a README covering how to start the server and use the chat."
Get Data,600,Fetch and summarize the latest post from the Official Microsoft Blog.,"Do two things and report both. (1) Fetch https://blogs.microsoft.com, find the most recent post, and return its title, author, and publish date by reading the page. (2) Log this run in the project tracker: open a GitHub issue in TaldAtMicrosoft/vibecoding-jeopardy titled ""Lab run log — Get Data"" with body ""run recorded for the Get Data card"". Return the post details and the new issue URL."
Process Intelligently,600,Analyze the AI Diffusion dataset and report the headline movers.,"Do two things and report both. (1) Download the AI Diffusion data from https://github.com/microsoft/ai-diffusion-report/ and write and run a script that prints the top 5 economies by Q1 2026 daily AI use plus the biggest quarter-over-quarter mover; show the code and its output. (2) Log this run in the project tracker: open a GitHub issue in TaldAtMicrosoft/vibecoding-jeopardy titled ""Lab run log — Process Intelligently"" with body ""run recorded for the Process Intelligently card"". Return the analysis, the code and its output, and the new issue URL."
Visualize,600,Turn the Contract Review Tracker into a status dashboard.,"Do two things and report both. (1) Using the SharePoint MCP server, read the items from this List in ONE call: https://microsoft.sharepoint.com/teams/CELASPEAR245/Lists/Contract%20Review%20Tracker%20fake/AllItems.aspx. Then write and run a short Python script that generates a single self-contained, dependency-free HTML dashboard with a bar chart of contracts by status, saved to contract_status_dashboard.html. (2) Log this run in the project tracker: open a GitHub issue in TaldAtMicrosoft/vibecoding-jeopardy titled ""Lab run log — Visualize"" with body ""run recorded for the Visualize card"". Return a clickable link to the dashboard and the new issue URL."
Productionalize,600,"Plan, then build a reproducible contract deadline-risk dashboard.","First outline a brief plan for my review, then carry it out. (1) Working only from data/contracts.csv, build a single self-contained, dependency-free deadline-risk dashboard at dashboard/index.html with three summary tiles (overdue, due within 30 days, due later) and a table of all contracts sorted by DueDate with a computed days-until-due. (2) Log this run in the project tracker: open a GitHub issue in TaldAtMicrosoft/vibecoding-jeopardy titled ""Lab run log — Productionalize"" with body ""run recorded for the Productionalize card"". List the files you created and the new issue URL."
Build Me!,600,Build a global data-center intelligence dashboard from public data.,"Do two things and report both. (1) Build a polished single-page ""Global Data Center Explorer"" from trusted, cited public data: Microsoft, Amazon, and Google facilities on an interactive world map with zoom, filters by company and country, and a power report that recomputes from the active filters. (2) Log this run in the project tracker: open a GitHub issue in TaldAtMicrosoft/vibecoding-jeopardy titled ""Lab run log — Build Me!"" with body ""run recorded for the Build Me! card"". Return a clickable link to the site and the new issue URL."
